action,original_id,aug_id,country_name,country_code,map_coordinates,url,region_name,region_code,title,description,status,stages,published_date,procurement_method,budget,currency,buyer,sector,subsector,location,last_modified_dt
insert,NULL,bf89c8d3-82ef-4783-a4e7-197c2feaf402,NULL,NULL,NULL,https://www.elkgrovecity.org/southeast-policy-area/development-projects,NULL,NULL,Bruceville Meadows,"Tentative subdivision map to divide 113.9&plusmn; acres into ~320 single family residential lots, one multifamily lot, a detention basin, drainage channel, two pocket parks, and various landscape lots. The Project also includes an amendment to the SEPA Strategic Plan to reduce the single family residential density.",In Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-14 09:24:29
insert,NULL,fcba37c4-417e-4ae5-8a08-1115af72f37d,NULL,NULL,NULL,https://www.elkgrovecity.org/southeast-policy-area/development-projects,NULL,NULL,Souza Dairy,Tentative subdivision map to divide 375&plusmn; acres into village center/mixed use and residential development,Approved August 2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-14 09:24:29
