original_id,aug_id,country_name,country_code,map_coordinates,url,region_name,region_code,title,description,status,stages,date,procurement_method,budget,currency,buyer,sector,subsector,location
NULL,f45ae067-412c-4719-bf70-2f5247ce0e13,NULL,NULL,NULL,https://www.elkgrovecity.org/southeast-policy-area/development-projects,NULL,NULL,Souza Dairy,Tentative subdivision map to divide 375&plusmn; acres into village center/mixed use and residential development,Approved August 2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,ae8e7168-a5b4-4a06-82af-f8e934eb2aa1,NULL,NULL,NULL,https://www.elkgrovecity.org/southeast-policy-area/development-projects,NULL,NULL,Bruceville Meadows,"Tentative subdivision map to divide 113.9&plusmn; acres into ~320 single family residential lots, one multifamily lot, a detention basin, drainage channel, two pocket parks, and various landscape lots. The Project also includes an amendment to the SEPA Strategic Plan to reduce the single family residential density.",In Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
